id,Location,lat-lon,Area,Bed,Bath,Price
441,"Dhanmondi, Dhaka",,"1,200 sqft",3,3,35 Thousand
442,"Monipuripara, Tejgaon, Dhaka",,900 sqft,2,2,19 Thousand
443,"Block C, Bashundhara R-A, Dhaka",,"1,320 sqft",3,4,26 Thousand
444,"Tejgaon, Dhaka",,950 sqft,3,2,25 Thousand
445,"Uttara, Dhaka",,"1,800 sqft",3,3,32 Thousand
446,"Block G, Bashundhara R-A, Dhaka",,"1,600 sqft",3,3,27 Thousand
447,"Gulshan 2, Gulshan, Dhaka",,"3,800 sqft",3,4,3.10 Lakh
448,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,22 Thousand
449,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,22 Thousand
450,"Mirpur, Dhaka",,"1,350 sqft",3,3,22 Thousand
451,"Mirpur, Dhaka",,"1,000 sqft",2,3,14 Thousand
452,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,21 Thousand
453,"Block C, Bashundhara R-A, Dhaka",,"1,810 sqft",3,3,32 Thousand
454,"East Goran, Goran, Khilgaon, Dhaka",,980 sqft,2,2,10 Thousand
455,"Khilgaon, Dhaka",,700 sqft,2,2,13.5 Thousand
456,"Mohammadpur, Dhaka",,750 sqft,2,2,26 Thousand
457,"Sector 3, Uttara, Dhaka",,"1,500 sqft",3,3,27 Thousand
458,"Mohammadpur, Dhaka",,750 sqft,2,2,15 Thousand
459,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",,"1,400 sqft",3,3,19.5 Thousand
460,"Mirpur, Dhaka",,"1,350 sqft",3,3,22 Thousand
